,Date,Close,High,Low,Open,Volume
433,6/14/2022,6786.733398,6786.733398,6649.164478,6695.020785,80865100
434,6/15/2022,6717.949219,6763.805527,6695.021064,6695.021064,130367100
435,6/16/2022,6947.22998,6970.158132,6763.804766,6786.732918,132666300
436,6/17/2022,6878.445801,6924.302106,6809.661343,6809.661343,117839400
437,6/20/2022,6993.086914,7016.015068,6878.446145,6970.15876,88138700
438,6/21/2022,7016.014648,7016.014648,6924.302039,6970.158344,44295700
439,6/22/2022,6878.445801,7016.014717,6878.445801,6993.086564,53041800
440,6/23/2022,6901.374023,6947.230329,6832.589565,6832.589565,60443000
441,6/24/2022,6855.517578,6970.15834,6855.517578,6970.15834,57956600
442,6/27/2022,6740.877441,6878.446369,6740.877441,6855.518214,76354100
443,6/28/2022,6695.020996,6786.733612,6695.020996,6695.020996,146078100
444,6/29/2022,6672.092773,6786.733543,6672.092773,6717.949081,98517800
445,6/30/2022,6649.164063,6786.732974,6649.164063,6695.020366,101343900
446,7/1/2022,6649.164063,6717.948518,6649.164063,6695.020366,68738800
447,7/4/2022,6465.73877,6672.092135,6419.882466,6649.163983,102238600
448,7/5/2022,6649.164063,6717.948518,6511.595151,6511.595151,69172900
449,7/6/2022,6695.020996,6717.94915,6580.380226,6695.020996,66801100
450,7/7/2022,6511.595215,6649.164128,6511.595215,6626.235976,86126800
451,7/8/2022,6557.45166,6580.379813,6488.667202,6534.523507,64312400
452,7/11/2022,6534.523926,6603.308388,6534.523926,6603.308388,36830800
453,7/12/2022,6580.380371,6649.164835,6557.452216,6580.380371,34269000
454,7/13/2022,6419.883301,6534.524074,6419.883301,6511.595919,71988200
455,7/14/2022,6442.811035,6511.595495,6419.882882,6442.811035,83316300
456,7/15/2022,6419.883301,6511.595919,6419.883301,6511.595919,57419900
457,7/18/2022,6557.45166,6557.45166,6442.810897,6442.810897,60077700
458,7/19/2022,6580.380371,6580.380371,6511.595907,6511.595907,59641000
459,7/20/2022,6786.733398,6786.733398,6580.380018,6603.308171,105792900
460,7/21/2022,6786.733398,6786.733398,6649.164478,6786.733398,64337100
461,7/22/2022,6717.949219,6786.733682,6695.021064,6786.733682,38956500
462,7/25/2022,6695.020996,6763.805458,6695.020996,6740.877304,31247600
463,7/26/2022,6695.020996,6763.805458,6649.164688,6649.164688,44379900
464,7/27/2022,6717.949219,6740.877373,6672.09291,6717.949219,58465500
465,7/28/2022,6740.877441,6832.59006,6717.949287,6763.805596,86909700
466,7/29/2022,6740.877441,6855.518214,6740.877441,6786.733751,131553000
467,8/1/2022,6878.445801,6878.445801,6740.876885,6740.876885,104841600
468,8/2/2022,6970.158691,6993.086845,6878.446077,6970.158691,106466900
469,8/3/2022,6993.086914,6993.086914,6947.230606,6993.086914,60170600
470,8/4/2022,7153.583496,7153.583496,7016.014583,7038.942735,164221000
471,8/5/2022,7222.368164,7222.368164,7084.799247,7176.511858,118734200
472,8/8/2022,7222.368164,7268.22447,7107.7274,7222.368164,84328900
473,8/9/2022,7245.296387,7314.080846,7222.368234,7222.368234,92875800
474,8/10/2022,7245.296387,7245.296387,7084.799315,7153.583774,104376300
475,8/11/2022,7291.152344,7291.152344,7176.511584,7199.439736,73204700
476,8/12/2022,7268.224121,7314.080425,7199.439666,7268.224121,59381200
477,8/15/2022,7291.152344,7314.080496,7245.29604,7291.152344,81411000
478,8/16/2022,7314.081055,7314.081055,7199.440286,7291.152901,83556700
479,8/18/2022,7337.009766,7359.937921,7222.368988,7245.297144,86136900
480,8/19/2022,7245.296387,7382.865305,7245.296387,7382.865305,58194900
481,8/22/2022,7337.009766,7337.009766,7176.512677,7199.440833,97293300
482,8/23/2022,7245.296387,7337.008999,7245.296387,7337.008999,71671800
483,8/24/2022,7291.152344,7359.9368,7245.29604,7291.152344,108892400
484,8/25/2022,7405.793457,7428.72161,7245.296385,7337.008998,99503500
485,8/26/2022,7337.009766,7451.650543,7337.009766,7359.937921,80472400
486,8/29/2022,7474.578125,7474.578125,7291.152895,7337.009202,57762100
487,8/30/2022,7497.505859,7589.218469,7405.793249,7428.721402,124467000
488,8/31/2022,7520.434082,7543.362235,7382.865166,7405.793319,137659900
489,9/1/2022,7474.578125,7566.29074,7451.649971,7474.578125,74960800
490,9/2/2022,7543.362793,7543.362793,7474.57833,7474.57833,71430600
491,9/5/2022,7589.218262,7612.146414,7520.433806,7543.361958,62906000
492,9/6/2022,7589.218262,7658.002717,7566.29011,7612.146414,67079900
493,9/7/2022,7680.931641,7680.931641,7566.29087,7566.29087,117931700
494,9/8/2022,7658.003418,7795.572342,7658.003418,7703.859726,132777400
495,9/9/2022,7680.931641,7795.572411,7589.219024,7795.572411,91234600
496,9/12/2022,7680.931641,7726.787949,7635.075332,7635.075332,52395300
497,9/13/2022,7818.500488,7864.356796,7680.931565,7680.931565,124485200
498,9/14/2022,7795.571777,7933.140691,7680.931016,7680.931016,116642400
499,9/15/2022,8024.853027,8139.493785,7795.571512,7795.571512,190404800
500,9/16/2022,7749.716309,8001.926011,7749.716309,7978.997856,363127600
501,9/19/2022,7933.141602,8024.854221,7749.716362,7772.644517,102530600
502,9/20/2022,7841.428711,7933.141327,7841.428711,7841.428711,89238400
503,9/21/2022,7772.644043,7887.284811,7726.787736,7818.50035,90933700
504,9/22/2022,7772.644043,7818.50035,7680.931429,7680.931429,61908500
505,9/23/2022,7680.931641,7772.644257,7680.931641,7680.931641,60567600
506,9/26/2022,7726.787598,7795.572057,7520.43422,7520.43422,106228200
507,9/27/2022,7612.146484,7749.715397,7612.146484,7680.930941,89567100
508,9/28/2022,7635.074707,7726.787316,7566.29025,7566.29025,89153400
509,9/29/2022,7680.931641,7749.716103,7635.075332,7635.075332,62643700
510,9/30/2022,7841.428711,7864.356865,7589.219016,7680.931632,176524800
511,10/3/2022,7795.571777,7818.49993,7749.715473,7749.715473,115079600
512,10/4/2022,7841.428711,7910.213173,7818.500557,7818.500557,80524500
513,10/5/2022,7749.716309,7841.428928,7726.788154,7818.500773,63788000
514,10/6/2022,7726.787598,7795.572057,7726.787598,7772.643904,43967400
515,10/7/2022,7520.434082,7680.931151,7520.434082,7635.074845,112043400
516,10/10/2022,7612.146484,7680.930941,7451.64942,7474.577572,80238200
517,10/11/2022,7566.290527,7612.146834,7474.577915,7520.434221,64060000
518,10/12/2022,7635.074707,7635.074707,7497.505793,7520.433946,47569700
519,10/13/2022,7589.218262,7680.930869,7589.218262,7589.218262,62282800
520,10/14/2022,7566.290527,7658.00314,7566.290527,7612.146834,70642900
521,10/17/2022,7566.290527,7612.146834,7497.506068,7566.290527,56387500
522,10/18/2022,7612.146484,7772.643549,7566.29018,7589.218332,85665300
523,10/19/2022,7589.218262,7658.002717,7543.361958,7566.29011,66753500
524,10/20/2022,7795.571777,7795.571777,7566.290254,7566.290254,91812300
525,10/21/2022,7933.141602,8001.926066,7749.716362,7749.716362,122777800
526,10/24/2022,8162.42334,8162.42334,8001.926252,8024.854407,89416500
527,10/25/2022,7978.996582,8139.49364,7978.996582,8093.637338,84696300
528,10/26/2022,7841.428711,7933.141327,7841.428711,7910.213173,98962100
529,10/27/2022,7978.996582,7978.996582,7841.427675,7841.427675,77003400
530,10/28/2022,8024.853027,8024.853027,7933.140421,7933.140421,84980600
